Grade,Precision,Recall,F1,Support,AUC
Grade 0,0.7634,0.5806,0.6596,639,0.8724
Grade 1,0.2667,0.4189,0.3259,296,0.6622
Grade 2,0.6222,0.5526,0.5853,447,0.8355
Grade 3,0.7198,0.8296,0.7708,223,0.9639
Grade 4,0.8627,0.8627,0.8627,51,0.9911
